EN_set;Parallel;Compound;propan-1-ol_ppm;n-hepatene_ppm;o-xylene_ppm;S1_2.6_Int;S2_2.6_Int;S3_2.6_Int;S4_2.6_Int;S5_2.6_Int;S6_2.6_Int;S1_3.0_Int;S2_3.0_Int;S3_3.0_Int;S4_3.0_Int;S5_3.0_Int;S6_3.0_Int;S1_3.4_Int;S2_3.4_Int;S3_3.4_Int;S4_3.4_Int;S5_3.4_Int;S6_3.4_Int
MS 2.2;2;mixture_2;26;17;24;2.80E-05;1.98E-05;0.001492306;0.001391711;0.001419705;0.001353249;4.14E-05;8.58E-06;1.43E-05;0.000541414;0.001259567;0.000975328;0.000322887;1.99E-05;1.09E-05;8.40E-06;0.001270938;0.001248139
MS 2.2;1;mixture_2;26;17;24;2.81E-05;2.02E-05;0.001434482;0.001532017;0.001388409;0.001349865;4.10E-05;8.21E-06;1.40E-05;0.000478118;0.001192185;0.000908838;0.00033846;2.13E-05;1.05E-05;8.30E-06;0.001222534;0.001195267
MS 2.2;2;mixture_2;26;17;24;2.97E-05;2.18E-05;0.001498551;0.00178811;0.001448493;0.00143383;4.04E-05;8.31E-06;1.39E-05;0.000469403;0.001225362;0.000907458;0.000356902;2.33E-05;1.06E-05;8.70E-06;0.001252283;0.001250759
MS 2.2;1;mixture_1;33;17;20;3.21E-05;2.43E-05;0.001837568;0.002273865;0.001666654;0.001690905;5.15E-05;1.05E-05;1.84E-05;0.000688536;0.001516915;0.001142711;0.000401932;2.51E-05;1.23E-05;9.01E-06;0.001448994;0.001366408
MS 2.2;2;mixture_1;33;17;20;3.27E-05;2.28E-05;0.001909946;0.001762917;0.001660576;0.001608025;5.02E-05;1.04E-05;1.73E-05;0.000666009;0.001468278;0.001143206;0.000395843;2.45E-05;1.22E-05;8.99E-06;0.001401498;0.0013675
MS 2.2;1;mixture_1;33;17;20;3.27E-05;2.37E-05;0.001818993;0.002015576;0.001678489;0.001666516;4.99E-05;1.01E-05;1.70E-05;0.000614608;0.001446214;0.001104008;0.000377006;2.39E-05;1.21E-05;9.81E-06;0.001391789;0.001424964
MS 2.2;2;mixture_1;33;17;20;3.35E-05;2.47E-05;0.001773499;0.002142863;0.001748557;0.001762214;5.00E-05;1.03E-05;1.70E-05;0.000662028;0.001474786;0.001157507;0.000419528;2.62E-05;1.23E-05;1.05E-05;0.001412161;0.001451425
MS 2.2;1;mixture_2;26;17;24;3.09E-05;2.11E-05;0.001600024;0.00165338;0.001388544;0.001332939;4.43E-05;8.98E-06;1.44E-05;0.000552196;0.001213186;0.000928711;0.000309531;1.91E-05;1.05E-05;8.23E-06;0.001194438;0.001246806
MS 2.2;2;mixture_2;26;17;24;2.93E-05;1.96E-05;0.001476007;0.001360635;0.001350768;0.001297099;4.31E-05;8.67E-06;1.41E-05;0.000475775;0.00121465;0.00093126;0.000417831;2.50E-05;1.29E-05;1.02E-05;0.001468375;0.001546692
MS 2.2;1;mixture_2;26;17;24;3.01E-05;2.06E-05;0.001478609;0.001569907;0.001450189;0.001385318;4.52E-05;9.22E-06;1.47E-05;0.00060091;0.001249137;0.000980625;0.000349962;2.07E-05;1.13E-05;8.94E-06;0.001287049;0.001349782
MS 2.2;2;mixture_2;26;17;24;3.17E-05;2.17E-05;0.001514333;0.001896069;0.001498579;0.001467141;3.61E-05;8.45E-06;1.42E-05;0.000499062;0.001136214;0.000909701;0.000340026;1.98E-05;1.09E-05;8.47E-06;0.001232136;0.001279421
